[22/02/2021 21:28:07] INFO:timings_list.py:Produce the list of all the run times in the MySQL database
2021-02-18 04:38:05 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000038.gz                      |     0.73|     0.69|     0.69|{"index": "000038", "cadence": 25, "size": 0.022850979799374435}
2021-02-18 04:38:06 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000038.gz                      |   418.92|   358.44|  3188.16|{"index": "000038", "cadence": 25, "size": 0.022850979799374435}
2021-02-18 04:39:14 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000039.gz                      |     0.04|     0.04|     0.04|{"index": "000039", "cadence": 25, "size": 0.0253377431688657}
2021-02-18 04:39:14 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000039.gz                      |     0.73|     0.69|     0.69|{"index": "000039", "cadence": 25, "size": 0.0253377431688657}
2021-02-18 04:39:15 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000039.gz                      |   453.84|   392.67|  3081.89|{"index": "000039", "cadence": 25, "size": 0.0253377431688657}
2021-02-18 04:40:01 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000040.gz                      |     0.04|     0.04|     0.04|{"index": "000040", "cadence": 25, "size": 0.02809512915979979}
2021-02-18 04:40:01 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000040.gz                      |     0.74|     0.71|     0.71|{"index": "000040", "cadence": 25, "size": 0.02809512915979979}
2021-02-18 04:40:02 |hot_jupiter_vs_size_batman          |transit_detection |hjvsize_batman_000040.gz                      |   561.81|   500.00|  3198.52|{"index": "000040", "cadence": 25, "size": 0.02809512915979979}
2021-02-18 04:43:15 |hot_jupiter_vs_size_batman          |batman_synthesis  |hjvsize_batman_000041.gz                      |     0.04|     0.04|     0.04|{"index": "000041", "cadence": 25, "size": 0.03115258834400635}
2021-02-18 04:43:16 |hot_jupiter_vs_size_batman          |verify            |hjvsize_batman_000041.gz                      |     0.71|     0.68|     0.68|{"index": "000041", "cadence": 25, "size": 0.03115258834400635}
