[21/02/2021 02:09:42] INFO:timings_list.py:Produce the list of all the run times in the MySQL database
2021-02-18 07:44:32 |bls_timing_long_periods             |psls_synthesis    |btlp_000006.gz                                |     3.05|     1.16|     5.78|{"index": "000006", "cadence": 25, "lc_length": 84}
2021-02-18 07:44:35 |bls_timing_long_periods             |transit_detection |btlp_000006.gz                                |     1.77|     1.77|     1.77|{"index": "000006", "cadence": 25, "lc_length": 84}
2021-02-18 07:44:37 |bls_timing_long_periods             |psls_synthesis    |btlp_000007.gz                                |     3.91|     1.52|     6.61|{"index": "000007", "cadence": 25, "lc_length": 112}
2021-02-18 07:44:41 |bls_timing_long_periods             |transit_detection |btlp_000007.gz                                |     2.23|     2.23|     2.23|{"index": "000007", "cadence": 25, "lc_length": 112}
2021-02-18 07:44:43 |bls_timing_long_periods             |psls_synthesis    |btlp_000008.gz                                |     5.66|     2.24|     8.47|{"index": "000008", "cadence": 25, "lc_length": 168}
2021-02-18 07:44:49 |bls_timing_long_periods             |transit_detection |btlp_000008.gz                                |     0.85|     0.85|     0.85|{"index": "000008", "cadence": 25, "lc_length": 168}
2021-02-18 07:44:50 |bls_timing_long_periods             |psls_synthesis    |btlp_000009.gz                                |     8.42|     3.43|    11.24|{"index": "000009", "cadence": 25, "lc_length": 252}
2021-02-18 07:44:58 |bls_timing_long_periods             |transit_detection |btlp_000009.gz                                |    11.13|    11.13|    11.13|{"index": "000009", "cadence": 25, "lc_length": 252}
2021-02-18 07:45:09 |bls_timing_long_periods             |psls_synthesis    |btlp_000010.gz                                |    13.23|     4.87|    16.09|{"index": "000010", "cadence": 25, "lc_length": 365.25}
2021-02-18 07:45:22 |bls_timing_long_periods             |transit_detection |btlp_000010.gz                                |    56.76|    56.76|    56.76|{"index": "000010", "cadence": 25, "lc_length": 365.25}
2021-02-18 07:46:19 |bls_timing_long_periods             |psls_synthesis    |btlp_000011.gz                                |    26.50|     9.82|    28.72|{"index": "000011", "cadence": 25, "lc_length": 730.5}
